account_id,customer_id,open_date,credit_limit,card_type,annual_fee,status
A0001,C0018,2024/2/3,15000,金卡,400,正常
A0002,C0002,2022/7/29,15000,标准卡,200,正常
A0003,C0035,2023/1/3,15000,白金卡,600,正常
A0004,C0016,2020/9/12,10000,金卡,400,正常
A0005,C0041,2022/2/14,10000,金卡,400,正常
A0006,C0036,2020/6/10,10000,金卡,400,正常
A0007,C0033,2023/2/4,20000,标准卡,200,正常
A0008,C0004,2021/8/23,80000,标准卡,200,正常
A0009,C0033,2023/7/11,50000,标准卡,200,正常
A0010,C0014,2023/6/20,15000,标准卡,200,冻结
A0011,C0021,2022/1/10,15000,标准卡,200,正常
A0012,C0048,2023/3/28,20000,白金卡,600,正常
A0013,C0020,2021/1/28,15000,白金卡,600,注销
A0014,C0008,2023/12/13,10000,标准卡,200,正常
A0015,C0007,2020/5/22,50000,金卡,400,正常
A0016,C0003,2020/4/3,30000,标准卡,200,正常
A0017,C0017,2023/9/16,15000,白金卡,600,正常
A0018,C0033,2021/4/11,10000,白金卡,600,正常
A0019,C0048,2021/8/15,30000,金卡,400,正常
A0020,C0012,2020/6/12,50000,白金卡,600,正常
A0021,C0022,2021/4/21,30000,标准卡,200,正常
A0022,C0022,2020/7/25,10000,金卡,400,冻结
A0023,C0046,2022/2/17,80000,标准卡,200,正常
A0024,C0030,2021/7/23,80000,标准卡,200,正常
A0025,C0038,2022/7/17,30000,金卡,400,正常
A0026,C0038,2023/7/25,20000,标准卡,200,正常
A0027,C0045,2022/1/17,30000,白金卡,600,正常
A0028,C0008,2020/11/29,15000,标准卡,200,正常
A0029,C0027,2022/1/28,15000,金卡,400,正常
A0030,C0027,2021/12/28,80000,金卡,400,正常
A0031,C0034,2021/3/5,20000,金卡,400,正常
A0032,C0021,2023/10/4,10000,标准卡,200,正常
A0033,C0030,2021/6/30,15000,金卡,400,正常
A0034,C0033,2023/12/8,80000,金卡,400,正常
A0035,C0028,2023/10/31,50000,标准卡,200,注销
A0036,C0047,2023/8/20,80000,白金卡,600,正常
A0037,C0033,2020/5/26,15000,标准卡,200,正常
A0038,C0005,2023/6/1,15000,金卡,400,注销
A0039,C0048,2023/7/24,80000,金卡,400,正常
A0040,C0019,2020/12/16,10000,标准卡,200,正常
A0041,C0004,2022/12/29,30000,白金卡,600,正常
A0042,C0035,2024/2/2,15000,金卡,400,正常
A0043,C0049,2021/5/16,80000,金卡,400,正常
A0044,C0017,2020/11/30,80000,金卡,400,正常
A0045,C0044,2022/8/4,20000,标准卡,200,正常
A0046,C0028,2022/2/16,30000,金卡,400,正常
A0047,C0030,2021/7/6,50000,白金卡,600,冻结
A0048,C0029,2023/8/3,10000,金卡,400,正常
A0049,C0046,2023/11/10,50000,金卡,400,正常
A0050,C0006,2023/2/14,30000,白金卡,600,冻结
A0051,C0035,2021/3/25,30000,金卡,400,注销
A0052,C0041,2023/11/3,30000,标准卡,200,注销
A0053,C0037,2021/10/26,50000,标准卡,200,正常
A0054,C0024,2020/4/24,30000,标准卡,200,正常
A0055,C0029,2021/4/14,80000,白金卡,600,正常
A0056,C0049,2020/3/6,50000,金卡,400,正常
A0057,C0046,2021/10/8,30000,标准卡,200,注销
A0058,C0031,2022/4/1,80000,白金卡,600,正常
A0059,C0035,2021/7/2,20000,金卡,400,正常
A0060,C0033,2020/5/15,30000,白金卡,600,冻结
A0061,C0021,2021/3/8,50000,标准卡,200,正常
A0062,C0032,2023/3/7,15000,标准卡,200,正常
A0063,C0023,2024/1/10,30000,标准卡,200,正常
A0064,C0033,2021/10/6,15000,白金卡,600,正常
A0065,C0003,2021/3/11,80000,白金卡,600,冻结
A0066,C0018,2023/9/4,20000,标准卡,200,正常
A0067,C0025,2022/10/19,10000,白金卡,600,正常
A0068,C0042,2022/3/21,20000,标准卡,200,正常
A0069,C0031,2023/8/9,30000,标准卡,200,正常
A0070,C0003,2022/7/28,15000,金卡,400,冻结
A0071,C0040,2020/10/19,15000,白金卡,600,冻结
A0072,C0046,2021/6/26,50000,标准卡,200,正常
A0073,C0024,2020/10/12,15000,标准卡,200,冻结
A0074,C0050,2021/5/20,50000,白金卡,600,正常
A0075,C0032,2023/2/23,80000,金卡,400,正常
A0076,C0047,2023/1/8,10000,金卡,400,正常
A0077,C0022,2021/6/22,30000,标准卡,200,正常
A0078,C0023,2023/4/12,50000,白金卡,600,正常
A0079,C0002,2022/5/27,10000,金卡,400,正常
A0080,C0027,2023/4/10,15000,白金卡,600,正常
